PROPERTYID,LOCATION,STATE,CITY,STATEID,SQFT,SQFT_VACANCY,PURCHASE_DATE,PURCHASE_YEAR,PURCHASE_PRICE,DESC_TYPENN,DESC_TYPEPROPERTY,RENT_ANCHOR,RENT_ALL,RENT_DIFFERENCE,MJ_OWNER,OPT_LEASE,CAPRATE,TENANTID,TENANTNAME,DESC_TYPEMGMT,ENTERPRISEID,DESC_COMPANIE,LOAN_COUNT,LOAN_UPB,PORTFOLIOID,PORTFOLIONAME,ADMIN_ENTITYID,ADMIN_ENTITY,DESC_TYPETENANT,DESC_CATEGORY,NROTENANT,UNITQTD
364,FL-Miami Beach,Florida,Miami Beach                                        ,FL  ,1757.0,0.0,2018-05-16 00:00:00,2018,3000000.0,NN,LJL,0.0,0.0,0.0,Client_0001 **,Y (1),0.0,194.0,Tenant_0194,Fin & Prop          ,30.0,Entity_0030,1,2250000.0,4,LJL               ,6.0,AE_0006   ,SINGLE TENANT,NON-PHARMACY,0,1
365,CO-Steamboat Springs,Colorado,Steamboat Springs,CO  ,87120.0,0.0,2022-04-05 00:00:00,2022,1325000.0,NN,LJL,0.0,0.0,0.0,Client_0001 **,Y (1),0.0,194.0,Tenant_0194,Fin & Prop          ,426.0,Entity_0426,1,836658.8199999998,4,LJL               ,6.0,AE_0006   ,SINGLE TENANT,NON-PHARMACY,0,1
367,SC-Camden,South Carolina,Camden,SC  ,10125.0,0.0,2023-12-28 00:00:00,2023,2275000.0,NN,CLIENT,164997.0,164997.0,0.0,Client_0160 **,Y (1),7.253,1.0,Tenant_0001,Fin & Prop          ,430.0,Entity_0430,0,0.0,1,L2-ALL            ,400.0,AE_0400   ,SINGLE TENANT,PHARMACY,1,1
368,FL-Plantation,Florida,Plantation,FL  ,2380.0,0.0,2024-02-22 00:00:00,2024,989000.0,NN,JV,72148.27,72148.27,0.0,Client_0001 **,,7.295,202.0,Tenant_0202,Fin & Prop          ,435.0,Entity_0435,0,0.0,1,L2-ALL            ,400.0,AE_0400   ,SINGLE TENANT,NON-PHARMACY,1,1
369,IN-Portage,Indiana,Portage,IN  ,10110.0,0.0,2024-03-01 00:00:00,2024,2193000.0,NNN,JV,159020.29,159020.29,0.0,Client_0079 **,Y (1),7.251,1.0,Tenant_0001,Fin & Prop          ,436.0,Entity_0436,1,1514006.28,1,L2-ALL            ,400.0,AE_0400   ,SINGLE TENANT,PHARMACY,1,1
370,PA-Havertown,Pennsylvania,Havertown,PA  ,9250.0,0.0,2024-03-13 00:00:00,2024,3300000.0,NNN,CLIENT,225000.0,225000.0,0.0,Client_0099 **,Y (1),6.818,1.0,Tenant_0001,Fin & Prop          ,438.0,Entity_0438,0,0.0,1,L2-ALL            ,400.0,AE_0400   ,SINGLE TENANT,PHARMACY,1,1
371,MN-Forest Lake,Minnesota,Forest Lake,MN  ,93853.0,1600.0,2024-03-18 00:00:00,2024,15150000.0,NN,JV,836826.12,1312639.22,475813.1,Client_0148 **,Y (1),8.663999999999998,50.0,Tenant_0050,Fin & Prop          ,441.0,Entity_0441,1,9500000.0,3,L2B               ,338.0,AE_0338   ,MULTI-TENANT,NON-PHARMACY,11,12
372,GA-Buford,Georgia,Buford,GA  ,12350.0,0.0,2024-09-05 00:00:00,2024,3650000.0,NNN,JV,270042.0,270042.0,0.0,Client_0079 **,Y (1),7.397999999999999,1.0,Tenant_0001,Fin & Prop          ,443.0,Entity_0443,1,2512139.77,1,L2-ALL            ,400.0,AE_0400   ,SINGLE TENANT,PHARMACY,1,1
373,TX-Corsicana,Texas,Corsicana,TX  ,10908.0,0.0,2024-11-06 00:00:00,2024,3724033.0,NN,CLIENT,268227.96,268227.96,0.0,Client_0166 **,Y (3),7.203,1.0,Tenant_0001,Fin & Prop          ,445.0,Entity_0445,1,2584632.81,1,L2-ALL            ,400.0,AE_0400   ,SINGLE TENANT,PHARMACY,1,1
374,TX-Bryan,Texas,Bryan,TX  ,10908.0,0.0,2024-11-06 00:00:00,2024,2950967.0,NN,JV,212457.0,212457.0,0.0,Client_0001 **,Y (1),7.2,1.0,Tenant_0001,Fin & Prop          ,448.0,Entity_0448,1,2055572.6,1,L2-ALL            ,400.0,AE_0400   ,SINGLE TENANT,PHARMACY,1,1
375,IL-South Elgin,Illinois,South Elgin                                        ,IL  ,94508.0,0.0,2024-11-08 00:00:00,2024,19650000.0,NN,JV,861948.0,1553021.25,691073.25,Client_0079 **,Y (3),7.902999999999999,214.0,Tenant_0214,Fin & Prop          ,451.0,Entity_0451,1,13635054.25,1,L2-ALL            ,400.0,AE_0400   ,MULTI-TENANT,NON-PHARMACY,4,4
376,OH-Berea,Ohio,Berea,OH  ,74255.0,2439.0,2024-12-19 00:00:00,2024,7600000.0,NNN,CLIENT,502425.0,635579.22,133154.21999999997,Client_0152 **,,8.362999999999998,2.0,Tenant_0002,Fin & Prop          ,459.0,Entity_0459,0,0.0,1,L2-ALL            ,338.0,AE_0338   ,MULTI-TENANT,NON-PHARMACY,4,6
377,PA-Elizabeth,Pennsylvania,Elizabeth,PA  ,54860.0,1761.0,2025-05-12 00:00:00,2025,6625000.0,NN,JV,610750.0,712825.84,102075.83999999995,Client_0148 **,,10.76,2.0,Tenant_0002,Fin & Prop          ,464.0,Entity_0464,0,0.0,3,L2B               ,338.0,AE_0338   ,MULTI-TENANT,NON-PHARMACY,3,3
378,OH-Cincinnati,Ohio,Cincinnati,OH  ,7309.0,0.0,2025-05-28 00:00:00,2025,1490000.0,NN,JV,112483.84,112483.84,0.0,Client_0079 **,,7.549,202.0,Tenant_0202,Fin & Prop          ,466.0,Entity_0466,1,1093347.36,1,L2-ALL            ,400.0,AE_0400   ,SINGLE TENANT,NON-PHARMACY,1,1
379,MN-Saint Michael,Minnesota,Saint Michael,MN  ,4273.0,0.0,2025-05-28 00:00:00,2025,2302000.0,NN,JV,171560.95,171560.95,0.0,Client_0079 **,Y (1),7.453,202.0,Tenant_0202,Fin & Prop          ,465.0,Entity_0465,1,1561052.64,1,L2-ALL            ,400.0,AE_0400   ,SINGLE TENANT,NON-PHARMACY,1,1
380,GA-Douglas,Georgia,Douglas,GA  ,10125.0,0.0,2025-06-06 00:00:00,2025,3340000.0,NNN,JV,275524.56,275524.56,0.0,Client_0001 **,Y (1),8.249,1.0,Tenant_0001,Fin & Prop          ,469.0,Entity_0469,1,2337997.6368,1,L2-ALL            ,400.0,AE_0400   ,SINGLE TENANT,PHARMACY,1,1
381,AL-Montgomery,Alabama,Montgomery,AL  ,10125.0,0.0,2025-06-06 00:00:00,2025,3482000.0,NNN,JV,287280.0,287280.0,0.0,Client_0001 **,Y (1),8.25,1.0,Tenant_0001,Fin & Prop          ,468.0,Entity_0468,1,2437402.3632,1,L2-ALL            ,400.0,AE_0400   ,SINGLE TENANT,PHARMACY,1,1
382,PA-Pittsburgh,Pennsylvania,Pittsburgh                                         ,PA  ,10125.0,0.0,2025-06-11 00:00:00,2025,2985000.0,NN,CLIENT,240000.0,240000.0,0.0,Client_0096 **,Y (1),8.04,1.0,Tenant_0001,Fin & Prop          ,471.0,Entity_0471,1,2100000.0,1,L2-ALL            ,400.0,AE_0400   ,SINGLE TENANT,PHARMACY,1,1
383,OH-Lancaster,Ohio,Lancaster,OH  ,10125.0,0.0,2025-06-20 00:00:00,2025,3430000.0,NN,FUND,248670.0,248670.0,0.0,Client_0000 **,Y (1),7.25,1.0,Tenant_0001,Fin & Prop          ,,,0,0.0,1,L2-ALL            ,338.0,AE_0338   ,SINGLE TENANT,PHARMACY,1,1
