YEARID,MONTHID,ENTERPRISEID,ENTEPRISENAME,PORTFOLIOID,PORTFOLIONAME,NETINCOME
2020,8,29,Entity_0029,1.0,L2-ALL,-8327.95
2020,9,29,Entity_0029,1.0,L2-ALL,-8335.55
2020,10,29,Entity_0029,1.0,L2-ALL,-6683.53
2020,11,29,Entity_0029,1.0,L2-ALL,-8350.22
2020,12,29,Entity_0029,1.0,L2-ALL,47517.55
2020,1,32,Entity_0032,1.0,L2-ALL,-17641.72
2020,2,32,Entity_0032,1.0,L2-ALL,-18193.22
2020,3,32,Entity_0032,1.0,L2-ALL,-17507.01
2020,4,32,Entity_0032,1.0,L2-ALL,-16684.97
2020,5,32,Entity_0032,1.0,L2-ALL,-18625.49
2020,6,32,Entity_0032,1.0,L2-ALL,-18275.82
2020,7,32,Entity_0032,1.0,L2-ALL,-13046.44
2020,8,32,Entity_0032,1.0,L2-ALL,-18316.91
2020,9,32,Entity_0032,1.0,L2-ALL,-18161.98
2020,10,32,Entity_0032,1.0,L2-ALL,-18724.51
2020,11,32,Entity_0032,1.0,L2-ALL,-17516.7
2020,12,32,Entity_0032,1.0,L2-ALL,195064.81
2020,1,34,Entity_0034,1.0,L2-ALL,-18354.45
2020,2,34,Entity_0034,1.0,L2-ALL,-18626.24
2020,3,34,Entity_0034,1.0,L2-ALL,-17916.53
2020,4,34,Entity_0034,1.0,L2-ALL,-16900.14
2020,5,34,Entity_0034,1.0,L2-ALL,-19044.67
2020,6,34,Entity_0034,1.0,L2-ALL,-18705.41
2020,7,34,Entity_0034,1.0,L2-ALL,-15628.05
2020,8,34,Entity_0034,1.0,L2-ALL,-18744.79
2020,9,34,Entity_0034,1.0,L2-ALL,-18764.01
2020,10,34,Entity_0034,1.0,L2-ALL,-19139.56
2020,11,34,Entity_0034,1.0,L2-ALL,-18803.76
2020,12,34,Entity_0034,1.0,L2-ALL,185108.85
2020,1,35,Entity_0035,1.0,L2-ALL,-14442.36
2020,2,35,Entity_0035,1.0,L2-ALL,-14558.29
2020,3,35,Entity_0035,1.0,L2-ALL,-15606.58
2020,4,35,Entity_0035,1.0,L2-ALL,-14649.51
2020,5,35,Entity_0035,1.0,L2-ALL,-15157.04
2020,6,35,Entity_0035,1.0,L2-ALL,-14627.81
2020,7,35,Entity_0035,1.0,L2-ALL,-12205.97
2020,8,35,Entity_0035,1.0,L2-ALL,-14674.13
2020,9,35,Entity_0035,1.0,L2-ALL,-14696.56
2020,10,35,Entity_0035,1.0,L2-ALL,-13760.07
2020,11,35,Entity_0035,1.0,L2-ALL,-14744.08
2020,12,35,Entity_0035,1.0,L2-ALL,224315.47
2020,1,41,Entity_0041,1.0,L2-ALL,-86089.21
2020,2,41,Entity_0041,1.0,L2-ALL,-35444.04
2020,3,41,Entity_0041,1.0,L2-ALL,19072.35
2020,4,41,Entity_0041,1.0,L2-ALL,-27669.6
2020,5,41,Entity_0041,1.0,L2-ALL,-28578.16
2020,6,41,Entity_0041,1.0,L2-ALL,-31274.2
2020,7,41,Entity_0041,1.0,L2-ALL,-99713.48
2020,8,41,Entity_0041,1.0,L2-ALL,12932.76
2020,9,41,Entity_0041,1.0,L2-ALL,-27752.18
2020,10,41,Entity_0041,1.0,L2-ALL,-35244.62
2020,11,41,Entity_0041,1.0,L2-ALL,-33584.5
2020,12,41,Entity_0041,1.0,L2-ALL,157519.22
2020,1,43,Entity_0043,1.0,L2-ALL,-11102.89
2020,2,43,Entity_0043,1.0,L2-ALL,-11121.33
2020,3,43,Entity_0043,1.0,L2-ALL,-11554.55
2020,4,43,Entity_0043,1.0,L2-ALL,-11156.87
2020,5,43,Entity_0043,1.0,L2-ALL,-9867.65
2020,6,43,Entity_0043,1.0,L2-ALL,-11193.49
2020,7,43,Entity_0043,1.0,L2-ALL,-11417.84
2020,8,43,Entity_0043,1.0,L2-ALL,-7503.81
