PKRECORD,YEARID,MONTHID,PORTFOLIOID,PORTFOLIONAME,NETINCOME
2024_02_4.0,2024,2,4.0,LJL,-181520.76
2024_02_5.0,2024,2,5.0,3RD,23636.25
2024_03_1.0,2024,3,1.0,L2-ALL,1576031.16
2024_03_3.0,2024,3,3.0,L2B,2984446.85
2024_03_4.0,2024,3,4.0,LJL,-103897.96
2024_03_5.0,2024,3,5.0,3RD,23940.0
2024_04_1.0,2024,4,1.0,L2-ALL,3130693.1
2024_04_3.0,2024,4,3.0,L2B,522254.95
2024_04_4.0,2024,4,4.0,LJL,-101060.34
2024_04_5.0,2024,4,5.0,3RD,23940.0
2024_05_1.0,2024,5,1.0,L2-ALL,3759684.1
2024_05_3.0,2024,5,3.0,L2B,1230594.8
2024_05_4.0,2024,5,4.0,LJL,-55352.52
2024_05_5.0,2024,5,5.0,3RD,18940.0
2024_06_1.0,2024,6,1.0,L2-ALL,2487495.33
2024_06_3.0,2024,6,3.0,L2B,3095659.65
2024_06_4.0,2024,6,4.0,LJL,-40781.9
2024_06_5.0,2024,6,5.0,3RD,23940.0
2024_07_1.0,2024,7,1.0,L2-ALL,3151553.07
2024_07_3.0,2024,7,3.0,L2B,120538.21
2024_07_4.0,2024,7,4.0,LJL,-90201.52
2024_07_5.0,2024,7,5.0,3RD,23150.75
2024_08_1.0,2024,8,1.0,L2-ALL,3256701.78
2024_08_3.0,2024,8,3.0,L2B,2036827.7
2024_08_4.0,2024,8,4.0,LJL,-52920.38
2024_08_5.0,2024,8,5.0,3RD,23940.0
2024_09_1.0,2024,9,1.0,L2-ALL,2822662.85
2024_09_3.0,2024,9,3.0,L2B,2871805.02
2024_09_4.0,2024,9,4.0,LJL,-62710.82
2024_09_5.0,2024,9,5.0,3RD,23940.0
2024_10_1.0,2024,10,1.0,L2-ALL,1492463.38
2024_10_3.0,2024,10,3.0,L2B,490612.95
2024_10_4.0,2024,10,4.0,LJL,220429.62
2024_10_5.0,2024,10,5.0,3RD,23940.0
2024_11_1.0,2024,11,1.0,L2-ALL,3260376.6
2024_11_3.0,2024,11,3.0,L2B,1049976.18
2024_11_4.0,2024,11,4.0,LJL,-158103.96
2024_11_5.0,2024,11,5.0,3RD,23940.0
2024_12_1.0,2024,12,1.0,L2-ALL,3669499.16
2024_12_3.0,2024,12,3.0,L2B,-403710.09
2024_12_4.0,2024,12,4.0,LJL,-41343.46
2024_12_5.0,2024,12,5.0,3RD,23715.0
