YEARID,ENTERPRISEID,ENTEPRISENAME,PORTFOLIOID,PORTFOLIONAME,NETINCOME
2021,237,Entity_0237,1.0,L2-ALL,-175971.76
2021,239,Entity_0239,1.0,L2-ALL,-175468.63
2021,242,Entity_0242,1.0,L2-ALL,-79347.43
2021,245,Entity_0245,1.0,L2-ALL,-120778.52
2021,249,Entity_0249,1.0,L2-ALL,-267293.84
2021,254,Entity_0254,1.0,L2-ALL,-84525.43
2021,284,Entity_0284,1.0,L2-ALL,-204675.78
2021,291,Entity_0291,1.0,L2-ALL,-163632.72
2021,294,Entity_0294,1.0,L2-ALL,-27892.65
2021,295,Entity_0295,1.0,L2-ALL,-245762.97
2021,306,Entity_0306,1.0,L2-ALL,-130327.06
2021,307,Entity_0307,1.0,L2-ALL,-368012.4
2021,309,Entity_0309,1.0,L2-ALL,233225.73
2021,311,Entity_0311,1.0,L2-ALL,180721.41
2021,315,Entity_0315,1.0,L2-ALL,1126248.72
2021,316,Entity_0316,1.0,L2-ALL,278514.57
2021,318,Entity_0318,1.0,L2-ALL,794941.21
2021,319,Entity_0319,1.0,L2-ALL,150829.86
2021,320,Entity_0320,1.0,L2-ALL,176370.45
2021,323,Entity_0323,1.0,L2-ALL,1378575.99
2021,324,Entity_0324,1.0,L2-ALL,743365.97
2021,329,Entity_0329,1.0,L2-ALL,5583087.69
2021,334,Entity_0334,3.0,L2B,-222442.85
2021,343,Entity_0343,1.0,L2-ALL,191227.04
2021,349,Entity_0349,1.0,L2-ALL,790857.79
2021,353,Entity_0353,3.0,L2B,-14952.45
2021,355,Entity_0355,3.0,L2B,-26482.39
2021,357,Entity_0357,3.0,L2B,-29094.64
2021,360,Entity_0360,3.0,L2B,-6827.63
2021,361,Entity_0361,3.0,L2B,-7129.04
2021,362,Entity_0362,3.0,L2B,-15770.37
2021,363,Entity_0363,3.0,L2B,-2442.83
2021,364,Entity_0364,1.0,L2-ALL,536492.86
2021,369,Entity_0369,1.0,L2-ALL,1719108.94
2021,370,Entity_0370,3.0,L2B,-15669.74
2021,371,Entity_0371,1.0,L2-ALL,-2561.68
2021,372,Entity_0372,1.0,L2-ALL,-3255.08
2022,2,Entity_0002,1.0,L2-ALL,-251083.63
2022,3,Entity_0003,1.0,L2-ALL,-460098.92
2022,6,ADMIN_ENTITY_0006,1.0,L2-ALL,-1252289.66
2022,6,ADMIN_ENTITY_0006,3.0,L2B,-79195.56
2022,7,Entity_0007,1.0,L2-ALL,-228708.01
2022,11,Entity_0011,1.0,L2-ALL,-147019.19
2022,19,Entity_0019,1.0,L2-ALL,-295001.95
2022,20,Entity_0020,1.0,L2-ALL,-112037.78
2022,21,Entity_0021,1.0,L2-ALL,-164667.06
2022,22,Entity_0022,1.0,L2-ALL,-167118.44
2022,23,Entity_0023,1.0,L2-ALL,-167395.3
2022,24,Entity_0024,1.0,L2-ALL,-146616.24
2022,25,Entity_0025,1.0,L2-ALL,-164980.72
2022,26,Entity_0026,1.0,L2-ALL,-100248.04
2022,27,Entity_0027,1.0,L2-ALL,-92345.01
2022,28,Entity_0028,1.0,L2-ALL,-211934.36
2022,29,Entity_0029,1.0,L2-ALL,-198195.16
2022,30,Entity_0030,4.0,LJL,203098.27
2022,32,Entity_0032,1.0,L2-ALL,-207143.31
2022,34,Entity_0034,1.0,L2-ALL,-236828.97
2022,35,Entity_0035,1.0,L2-ALL,-176656.46
2022,41,Entity_0041,1.0,L2-ALL,-234029.82
2022,43,Entity_0043,1.0,L2-ALL,-68814.6
2022,44,Entity_0044,1.0,L2-ALL,-62337.49
2022,46,Entity_0046,1.0,L2-ALL,-96255.88
2022,47,Entity_0047,1.0,L2-ALL,-53486.54
2022,48,Entity_0048,1.0,L2-ALL,-111035.2
2022,49,Entity_0049,1.0,L2-ALL,-122372.46
2022,51,Entity_0051,1.0,L2-ALL,-144450.24
2022,55,Entity_0055,1.0,L2-ALL,-103242.56
2022,57,Entity_0057,1.0,L2-ALL,-140769.94
2022,60,Entity_0060,1.0,L2-ALL,-124913.54
2022,63,Entity_0063,1.0,L2-ALL,-156159.34
2022,64,Entity_0064,1.0,L2-ALL,-171104.22
2022,65,Entity_0065,1.0,L2-ALL,-295581.49
2022,66,Entity_0066,1.0,L2-ALL,-300025.43
2022,88,Entity_0088,1.0,L2-ALL,-210602.54
2022,99,Entity_0099,3.0,L2B,-69863.71
2022,101,Entity_0101,3.0,L2B,-163709.12
2022,102,Entity_0102,3.0,L2B,-114516.02
2022,103,Entity_0103,3.0,L2B,-108465.75
2022,104,Entity_0104,3.0,L2B,-79723.11
2022,105,Entity_0105,1.0,L2-ALL,-143436.37
2022,107,Entity_0107,1.0,L2-ALL,-90810.82
2022,108,Entity_0108,1.0,L2-ALL,-145310.88
2022,110,Entity_0110,1.0,L2-ALL,-69509.26
2022,111,Entity_0111,1.0,L2-ALL,-124666.14
2022,113,Entity_0113,1.0,L2-ALL,-118777.06
2022,115,Entity_0115,1.0,L2-ALL,-148931.51
2022,121,Entity_0121,1.0,L2-ALL,-118089.79
